Element;Sect;Col;Seism;GroupRSU;Crit;N;Mk;My;Qz;Mz;Qy;Loads
272;1;1;-;A1;28;-7.085545;-0.109129;3.046064;-1.010334;-1.498929;-1.156232;1 5 8
272;1;1;-;A1;29;-9.475233;0.092789;-4.030222;1.797093;-0.662538;-0.458738;1 3 8
272;1;2;-;A1;30;-12.366367;0.032579;-2.441742;1.358491;-1.668699;-1.277987;1 2 6 8 9 10 11
272;1;1;-;A1;34;-8.878404;-0.013212;-0.390667;0.379186;-1.007769;-0.646334;1 2 8
272;2;2;-;A1;1;-10.996776;0.074882;2.396302;1.062198;3.551041;-1.39897;1 2 3 8 9 10 11
272;2;2;-;A1;3;-7.52294;0.090759;2.269558;1.25214;1.122802;-0.289801;1 4 7 8
272;2;2;-;A1;7;-7.996142;-0.118224;0.990814;-0.143621;2.240005;-0.482052;1 5 8 9 10 11
272;2;2;-;A1;8;-8.133886;0.081947;2.315759;1.248448;1.202782;-0.321288;1 2 4 7 8
272;2;2;-;A1;10;-8.607088;-0.127036;1.037015;-0.147314;2.319985;-0.513539;1 2 5 8 9 10 11
272;2;2;-;A1;11;-5.848491;-0.117941;0.473162;-0.240551;1.070036;-0.060486;1 2 5 8
272;2;2;-;A1;12;-10.375595;0.089868;2.369324;1.071591;3.431792;-1.338662;1 3 7 8 9 10 11
272;2;2;-;A1;13;-10.281537;0.081664;2.833411;1.345377;2.372752;-0.742854;1 4 7 8 9 10 11
272;2;2;-;A1;15;-10.902387;0.066597;2.859787;1.335633;2.489887;-0.802026;1 2 4 8 9 10
272;2;2;-;A1;19;-10.892483;0.072852;2.879612;1.341684;2.452732;-0.774342;1 2 4 7 8 9 10 11
272;2;2;-;A1;27;-5.227311;-0.102956;0.446184;-0.231158;0.950787;-0.000178;1 5 7 8
272;2;1;-;A1;29;-7.533175;0.084585;2.250335;1.24644;1.162071;-0.318621;1 4 8
272;2;1;-;A1;32;-5.237545;-0.109129;0.426961;-0.236858;0.990056;-0.028998;1 5 8
272;2;2;-;A1;33;-10.291771;0.075491;2.814188;1.339677;2.41202;-0.771675;1 4 8 9 10 11
272;2;1;-;A1;34;-7.030404;-0.013212;1.201913;0.379186;1.706833;-0.646334;1 2 8
416;1;2;-;A1;2;-97.509453;0.003835;-2.563251;3.004235;0.064156;0.143968;1 2 4 7 8 9 10
416;1;2;-;A1;4;-97.257698;0.005932;-2.609539;3.047807;0.116607;0.179252;1 2 6 7 8 9 10
416;1;2;-;A1;6;-97.848961;0.002789;-2.389581;2.875655;0.142511;0.204552;1 5 8 9 10
416;1;2;-;A1;9;-97.39209;0.00657;-2.539481;2.994135;0.152334;0.201841;1 3 7 8 9 10
416;1;2;-;A1;11;-97.569183;0.002229;-2.391494;2.872395;0.14224;0.203448;1 5 8 9 10 11
416;1;2;-;A1;15;-96.977921;0.005372;-2.611452;3.044547;0.116336;0.178148;1 2 6 7 8 9 10 11
416;1;2;-;A1;24;-97.538635;0.003831;-2.5454;2.987791;0.065776;0.144214;1 4 7 8 9 10
416;1;1;-;A1;27;-60.937241;0.003062;-1.641132;1.914028;0.078433;0.116708;1 6 8
416;1;2;-;A1;28;-60.869015;0.00155;-1.672952;1.93012;0.014602;0.07223;1 2 4 7 8 11
416;1;2;-;A1;33;-97.595459;0.003661;-2.463287;2.930961;0.123575;0.186217;1 8 9 10
